The underlying securities code,The underlying securities referred to,Today financing balance (yuan),Today financing the purchase amount (yuan),Today financing repayments (yuan),Today's trading margin,Today the amount of short selling,Today margin to repay the amount,date,name,Closing price,Highest Price,Lowest,Opening price,Before closing,Change Amount,Quote change,Turnover,Volume,Turnover,The total market capitalization,Market capitalization
600111,Baotou Steel Rare Earth,81152398,14028374,13910058,159057,81142,47689,2012-01-04,Baotou Steel Rare Earth,37.61,38.2,37.51,37.9,37.63,-0.02,-0.0531,2.1701,16053319,606348659,45546537420,27821430605
600111,Baotou Steel Rare Earth,86275182,16005064,10847358,161614,156415,153858,2012-01-05,Baotou Steel Rare Earth,35.64,37.53,35.5,37.53,37.61,-1.97,-5.238,1.7476,12927283,469273171,43160824080,26364152798
600111,Baotou Steel Rare Earth,93779424,16624442,9120200,164184,217784,215214,2012-01-06,Baotou Steel Rare Earth,36.32,36.59,34.8,35.42,35.64,0.68,1.908,1.3534,10011755,356363900,43984319040,26867172549
600111,Baotou Steel Rare Earth,104518771,32113526,21374179,180048,266606,250742,2012-01-09,Baotou Steel Rare Earth,39.02,39.4,35.78,36.33,36.32,2.7,7.4339,3.5645,26367619,1001935947,47254078440,28864456852
600111,Baotou Steel Rare Earth,110180493,38471066,32809344,163723,181239,197564,2012-01-10,Baotou Steel Rare Earth,40.39,40.87,38.63,39,39.02,1.37,3.511,3.597,26608410,1057210872,48913178580,29877893702
600111,Baotou Steel Rare Earth,133399908,44052203,20832788,213533,323870,274060,2012-01-11,Baotou Steel Rare Earth,42.63,43.43,40.01,40.39,40.39,2.24,5.5459,4.7726,35304804,1477780214,51625867860,31534899938
600111,Baotou Steel Rare Earth,133284595,41165910,41281223,187356,288988,315165,2012-01-12,Baotou Steel Rare Earth,43.46,45.65,41.75,42,42.63,0.83,1.947,5.0103,37063124,1600524865,52631016120,32148879927
600111,Baotou Steel Rare Earth,125924277,39157315,46517633,209561,303200,280995,2012-01-13,Baotou Steel Rare Earth,44.96,46.08,42.91,43.36,43.46,1.5,3.4514,6.3609,47053862,2103956093,54447549120,33258482318
600111,Baotou Steel Rare Earth,130633086,39895991,35187182,129085,109155,189631,2012-01-16,Baotou Steel Rare Earth,41.08,44.45,40.91,44,44.96,-3.88,-8.6299,4.3545,32211654,1372557412,49748783760,30388310801
600111,Baotou Steel Rare Earth,148331977,44842458,27143567,196979,375889,307995,2012-01-17,Baotou Steel Rare Earth,45.19,45.19,41.1,41.1,41.08,4.11,10.0049,5.7021,42180670,1846974483,54726084180,33428621351
